YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1918-01-01;--:--;    847.000;   -999.000;   0
1918-02-01;--:--;    273.000;   -999.000;   0
1918-03-01;--:--;    183.000;   -999.000;   0
1918-04-01;--:--;    764.000;   -999.000;   0
1918-05-01;--:--;    689.000;   -999.000;   0
1918-06-01;--:--;    193.000;   -999.000;   0
1918-07-01;--:--;     93.000;   -999.000;   0
1918-08-01;--:--;     32.000;   -999.000;   0
1918-09-01;--:--;     61.000;   -999.000;   0
1918-10-01;--:--;    122.000;   -999.000;   0
1918-11-01;--:--;    240.000;   -999.000;   0
1918-12-01;--:--;   1112.000;   -999.000;   0
1919-01-01;--:--;   1073.000;   -999.000;   0
1919-02-01;--:--;    901.000;   -999.000;   0
1919-03-01;--:--;   1066.000;   -999.000;   0
1919-04-01;--:--;   1080.000;   -999.000;   0
1919-05-01;--:--;    556.000;   -999.000;   0
1919-06-01;--:--;    108.000;   -999.000;   0
1919-07-01;--:--;    129.000;   -999.000;   0
1919-08-01;--:--;     39.000;   -999.000;   0
1919-09-01;--:--;     25.000;   -999.000;   0
1919-10-01;--:--;     54.000;   -999.000;   0
1919-11-01;--:--;    319.000;   -999.000;   0
1919-12-01;--:--;    754.000;   -999.000;   0
1920-01-01;--:--;    673.000;   -999.000;   0
1920-02-01;--:--;    272.000;   -999.000;   0
1920-03-01;--:--;    441.000;   -999.000;   0
1920-04-01;--:--;    478.000;   -999.000;   0
1920-05-01;--:--;    179.000;   -999.000;   0
1920-06-01;--:--;     93.000;   -999.000;   0
1920-07-01;--:--;    164.000;   -999.000;   0
1920-08-01;--:--;     57.000;   -999.000;   0
1920-09-01;--:--;     79.000;   -999.000;   0
1920-10-01;--:--;    452.000;   -999.000;   0
1920-11-01;--:--;    208.000;   -999.000;   0
1920-12-01;--:--;    225.000;   -999.000;   0
1921-01-01;--:--;    255.000;   -999.000;   0
1921-02-01;--:--;    215.000;   -999.000;   0
1921-03-01;--:--;    128.000;   -999.000;   0
1921-04-01;--:--;    186.000;   -999.000;   0
