PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0,-3.531442484007959e-05
,-8.122369096752458e-12,-3.830171596552745e-11,-9.427271463469111e-12,6.720925899150743e-14,4.052226287268486e-14,4.1295726603898797e-13,9.372138981705055e-16,4.2709325659417985e-14,1.6001892329644066e-15,1.1067633354927553e-13,0.0,-3.5220296675021306e-05
,-8.184592760474008e-12,-3.8322876122487415e-11,-9.442627235678458e-12,6.764987875440553e-14,3.22770578168631e-14,-5.3547850598079094e-08,9.300788102601905e-16,4.294307964780586e-14,1.5764959214846909e-15,1.1096393172805447e-13,0.0,-0.0342173352332198
,-8.28359516397148e-12,-4.295888644811896e-11,-9.546954372885441e-12,6.746166125726205e-14,2.665633691426375e-14,-5.354113952193984e-08,9.233012761327352e-16,4.2825118451439437e-14,1.5544305014504795e-15,1.108222603854285e-13,0.0,-0.03421614431961449
,-8.266765744169291e-12,-4.290642494075847e-11,-9.540044101918888e-12,6.822233750147788e-14,2.1797986321774737e-14,-5.353829024556944e-08,9.165202479943725e-16,4.319374719008451e-14,1.5321026070817378e-15,3.213312997846565e-14,0.0,-0.0342143294970787
,-8.25051485464634e-12,-4.2855823056964226e-11,-9.53331250747036e-12,6.849208700199227e-14,1.8127657036050293e-14,-5.353441068223219e-08,9.099155085881571e-16,4.333209138729366e-14,1.5104549860487596e-15,3.081255817985115e-14,0.0,-0.03421180898460698
,-8.234783514804445e-12,-4.280560628178165e-11,-9.526713619367744e-12,6.838366678474372e-14,1.5351667487684302e-14,-5.353020426923649e-08,9.034423769261214e-16,4.3298697960381105e-14,1.4893984881338466e-15,3.073300145731324e-14,0.0,-0.03420907948030211
,-8.219562183664486e-12,-4.275616666271631e-11,-9.520250039696254e-12,6.840188138124148e-14,1.3252881627681071e-14,-5.352611509579219e-08,8.971114409201059e-16,4.3312142067319925e-14,1.4689323721831698e-15,3.0737256950840244e-14,0.0,-0.0342064251258322
,-8.204835248715181e-12,-4.2707351544102323e-11,-9.513923503179367e-12,6.841489180731131e-14,1.1666081444513914e-14,-5.352210408204883e-08,8.909180418889009e-16,4.330867262036797e-14,1.449042556273981e-15,3.074916962221043e-14,0.0,-0.03420382114756829
,-8.190581893274818e-12,-4.2659140109257976e-11,-9.507727938284916e-12,6.835330912391413e-14,1.0465772230783526e-14,-5.351791187990784e-08,8.848530212887641e-16,4.3285253853442285e-14,1.4296996060113635e-15,3.071428202917892e-14,0.0,-0.03420110212368449
,-8.17676135134171e-12,-4.261083846879288e-11,-9.501630385266857e-12,6.813646868941703e-14,9.555880121480537e-15,-5.3513076636590995e-08,8.788961562080798e-16,4.3179002040538705e-14,1.4108539699679025e-15,3.059813687145141e-14,0.0,-0.03419797291965902
,-8.163352806234148e-12,-4.2562085800224025e-11,-9.495623905231287e-12,6.78615150184747e-14,8.864593663336726e-15,-5.350733900399973e-08,8.730355881855865e-16,4.305063250331642e-14,1.3924713433092345e-15,3.042796117608444e-14,0.0,-0.03419426766266677
,-8.1503259002913e-12,-4.264992872760054e-11,-9.489695487752137e-12,6.753365228151509e-14,8.338021232115987e-15,-5.3500610164292084e-08,8.6725697060074e-16,4.2898410518299457e-14,1.3745291737831387e-15,3.0217791973079916e-14,0.0,-0.03419001713467839
,-8.130841486209128e-12,-4.259892438795987e-11,-9.482100001012572e-12,6.725002499319288e-14,9.218434053755685e-15,-5.34925632678096e-08,8.620611646231637e-16,4.277697987498108e-14,1.3595858185276783e-15,1.1013346674524846e-13,0.0,-0.03418477932307005
,-8.118951691504783e-12,-4.255133745356687e-11,-9.476528069207735e-12,6.805059987735618e-14,8.610825980471127e-15,-5.3632529528613304e-08,8.56586473047704e-16,4.3132598187556326e-14,1.342681264361969e-15,3.2035277344267046e-14,0.0,-0.03427413350738269
,-8.107472158902507e-12,-4.250549218154376e-11,-9.471110527792259e-12,6.827090975880523e-14,8.153823753340173e-15,-5.362634425409851e-08,8.512564123479879e-16,4.3226273255259073e-14,1.3262985883708868e-15,3.0692160916728425e-14,0.0,-0.0342701461051398
,-8.096352581421495e-12,-4.245998344587498e-11,-9.465794467700128e-12,6.818937775543432e-14,7.807228882752027e-15,-5.361993160590828e-08,8.460327601622706e-16,4.3184206210966636e-14,1.3103567930288504e-15,3.0614728552822226e-14,0.0,-0.03426601347091987
,-8.085546121527898e-12,-4.241368020685421e-11,-9.460542592376608e-12,6.789013795582832e-14,7.54164509027223e-15,-5.36088506919441e-08,8.408855527000431e-16,4.30597398015653e-14,1.2947953154801312e-15,3.875852004793512e-14,0.0,-0.03425889551698836
,-8.075020686837409e-12,-4.2366093272461214e-11,-9.45533755458694e-12,6.745298763988217e-14,7.335785590903334e-15,-5.374730349672063e-08,8.357947258683671e-16,4.2867185495731874e-14,1.2795713805608929e-15,3.034925487462557e-14,0.0,-0.03434724110248502
,-8.064765869009172e-12,-4.231989064740205e-11,-9.450234865482354e-12,6.747467168333188e-14,7.2004441254922e-15,-5.373674127895356e-08,8.308337068358579e-16,4.284073096272323e-14,1.264834277828089e-15,3.017992960033765e-14,0.0,-0.034340459720543504
,-8.044063679046864e-12,-4.2459580990028556e-11,-9.441571656443326e-12,6.729426044183029e-14,9.733848519962243e-15,-5.37260760324898e-08,8.271001973625977e-16,4.276873993847019e-14,1.2567229844460633e-15,3.010249723643145e-14,0.0,-0.03433372068327726
,-8.006777532654219e-12,-4.241140424965373e-11,-9.426434459391952e-12,6.736191465739338e-14,-7.242057176171102e-09,-5.3709801051127215e-08,8.256255659409872e-16,4.280039864190677e-14,1.2605896898502792e-15,3.6463267436915095e-14,0.0,-0.038946170929506696
,-7.9915822223664e-12,-4.2363997726502234e-11,-9.420480021060662e-12,6.732895491134983e-14,-7.240718247203404e-09,-5.380845280456015e-08,8.218648455342965e-16,4.274618853328249e-14,1.2517290899472888e-15,3.022630296013393e-14,0.0,-0.03900824996907955
,-7.95856696517161e-12,-4.2316528753305604e-11,-9.404255152389851e-12,6.720232009760352e-14,-7.251334643854079e-09,-5.3795933041556054e-08,8.210496292621234e-16,4.270672357420402e-14,1.2584924362728776e-15,3.003740783663264e-14,0.0,-0.0390069734619078
