time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
2025-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0,-5.029291108353272e-09
2025-01-02 00:00:00+00:00,,-8.138997288631433e-12,-3.830404396443221e-11,-9.430586520031703e-12,6.816595898850863e-14,3.911135331617979e-14,4.131221460843687e-13,9.36767617686421e-16,4.319721663703646e-14,1.5979160082922128e-15,1.1122983231085654e-13,0.0,-5.017842416557492e-09
2025-01-03 00:00:00+00:00,,-8.200688392245858e-12,-3.8290287607267715e-11,-9.445897189430674e-12,6.817810205284047e-14,3.1215071624518184e-14,-5.355284216079781e-08,9.296964807636236e-16,4.321152810571327e-14,1.5743789743912656e-15,1.1126727116712518e-13,0.0,-4.8735020598125765e-06
2025-01-04 00:00:00+00:00,,-8.17777442985168e-12,-3.827593450522748e-11,-9.438254865157258e-12,6.797166995919923e-14,2.582968357972039e-14,-5.3547346112736705e-08,9.22953992624361e-16,4.3113082548451587e-14,1.5523909519926096e-15,1.1112687376205188e-13,0.0,-4.872998869080195e-06
2025-01-05 00:00:00+00:00,,-8.119977780440824e-12,-3.82610436389097e-11,-9.423769924132852e-12,6.780426914376747e-14,2.591132908550623e-14,-5.354445775651584e-08,9.177120233511593e-16,4.303632103463961e-14,1.5375928628876033e-15,1.1103115226274857e-13,0.0,-4.872728391771174e-06
2025-01-06 00:00:00+00:00,,-8.105225692001117e-12,-3.824589603351747e-11,-9.417662830135676e-12,6.765855237178542e-14,-7.240993138424301e-09,-5.353720666789741e-08,9.109928286179462e-16,4.296086056343462e-14,1.515629722081773e-15,1.1090989780228322e-13,0.0,-5.530340421358552e-06
2025-01-07 00:00:00+00:00,,-8.084455847823246e-12,-3.8230404952876995e-11,-9.410272040766277e-12,6.758742870927037e-14,-7.2401915574005216e-09,-5.353685139652953e-08,9.04703608984583e-16,4.292443137043911e-14,1.4957098365029568e-15,1.1082778981650818e-13,0.0,-5.530231304246198e-06
2025-01-08 00:00:00+00:00,,-8.032180823236423e-12,-3.821484101385053e-11,-9.395647454502054e-12,6.756834675103462e-14,-7.2393802064141255e-09,-5.354320364858722e-08,9.001805589253634e-16,4.292443137043911e-14,1.4844799795673777e-15,1.1079800813808272e-13,0.0,-5.530727531713286e-06
2025-01-09 00:00:00+00:00,,-8.014514399357076e-12,-3.819900992740877e-11,-9.388595803572208e-12,6.735237367827551e-14,-7.239488564181329e-09,-5.3567543290000685e-08,8.941508490112153e-16,4.280039864190677e-14,1.4656651543473731e-15,1.1068696550682947e-13,0.0,-5.532946434068957e-06
2025-01-10 00:00:00+00:00,,-8.003255176636248e-12,-3.818227331531254e-11,-9.38320081356192e-12,6.698027549267849e-14,-7.2384773730505e-09,-5.35503303922269e-08,8.878619470152073e-16,4.2626926294309087e-14,1.4455682388825808e-15,1.1042361957539631e-13,0.0,-5.531286739121033e-06
2025-01-11 00:00:00+00:00,,-7.98739546725713e-12,-3.81678126604168e-11,-9.376551618478501e-12,6.766896071264128e-14,-7.237720200947706e-09,-5.355627408221153e-08,8.821389689070837e-16,4.2939610200853906e-14,1.4279569416015062e-15,4.7958253308281323e-14,0.0,-5.531760469635024e-06
2025-01-12 00:00:00+00:00,,-7.948540263480464e-12,-3.8153452619482664e-11,-9.362863782891306e-12,6.771319616127869e-14,-7.23693904802758e-09,-5.355365928494393e-08,8.783427789957267e-16,4.296389632951758e-14,1.420089381950053e-15,1.1053678995341307e-13,0.0,-5.531439970665706e-06
2025-01-13 00:00:00+00:00,,-7.93479171257161e-12,-3.8138450730862417e-11,-9.356439234498026e-12,6.749895781199555e-14,-7.237417776195798e-09,-5.358871391081266e-08,8.728741754695753e-16,4.2849838260972106e-14,1.4035242762379559e-15,6.034667259175244e-14,0.0,-5.534671672438115e-06
2025-01-14 00:00:00+00:00,,-7.915434800664922e-12,-3.8122286577513265e-11,-9.3478011789494e-12,6.701236787698406e-14,-7.236378607444749e-09,-5.3585733184036144e-08,8.6808558058139155e-16,4.260741065520435e-14,1.3905077091792622e-15,1.101487878771984e-13,0.0,-5.534297753352574e-06
2025-01-15 00:00:00+00:00,,-7.85331955716062e-12,-3.8105719968317686e-11,-9.321638079484718e-12,6.672093433301995e-14,-7.236252042019942e-09,-5.359818899819402e-08,8.681242793991692e-16,4.247253590494715e-14,1.4023079369256987e-15,4.3608972905223933e-14,0.0,-5.535415149540323e-06
2025-01-16 00:00:00+00:00,,-7.821177733235984e-12,-3.8091155230013385e-11,-9.303118171655189e-12,6.747640640680785e-14,-7.236513610564543e-09,-5.3644665598540087e-08,8.6637436226970105e-16,4.282555213230843e-14,1.4038196789783108e-15,3.0492203542936e-14,0.0,-5.539659235989401e-06
2025-01-17 00:00:00+00:00,,-7.801512907912311e-12,-3.8076399672126726e-11,-9.289271608869942e-12,6.737665980693919e-14,-7.238179389190691e-09,-5.358887733564188e-08,8.635391841765633e-16,4.2777413555850075e-14,1.3995207750127584e-15,1.1015431730827807e-13,0.0,-5.5347273943246235e-06
2025-01-18 00:00:00+00:00,,-7.776742791398839e-12,-3.806123471949974e-11,-9.269146214463397e-12,6.715288047853818e-14,-7.244061794864365e-09,-5.364177368960554e-08,8.625931013140394e-16,4.264687561428282e-14,1.4043893086353393e-15,3.1577503470121143e-14,0.0,-5.540072633086663e-06
2025-01-19 00:00:00+00:00,,-7.794576616093618e-12,-4.000267131432089e-11,-9.288948082941673e-12,6.704532762302762e-14,-7.242510591254359e-09,-5.362757349303138e-08,8.606906653145063e-16,4.258182348393369e-14,1.4040205316659285e-15,3.653899557053142e-14,0.0,-5.53882016813102e-06
