time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11
2065-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0
2065-01-02 00:00:00+00:00,,-8.119898850522667e-12,-3.829830896862063e-11,-9.426692933189873e-12,6.610250541383422e-14,4.071344498514373e-14,4.127668801374995e-13,9.371662525672225e-16,4.217850027576908e-14,1.6003073940605485e-15,1.1004497551918291e-13,0.0
2065-01-03 00:00:00+00:00,,-8.174787236026049e-12,-3.8525224677066205e-11,-9.440372962521426e-12,6.577811212382656e-14,3.3122779557115054e-14,4.170473103144723e-13,9.30086221798479e-16,4.2035385589000995e-14,1.5774352810231959e-15,1.0984799631323303e-13,0.0
2065-01-04 00:00:00+00:00,,-8.158124349677554e-12,-3.850738478083926e-11,-9.433836524463945e-12,6.684149761460034e-14,2.6673792569240767e-14,4.175427093921352e-13,9.230127555350767e-16,4.253672067355829e-14,1.5542025437085497e-15,1.1043723308892459e-13,0.0
2065-01-05 00:00:00+00:00,,-8.088203717893094e-12,-3.8489565701294026e-11,-9.416885674018438e-12,6.696206089618073e-14,2.7935397322199212e-14,-5.351821386057054e-08,9.18152056967258e-16,4.259440022913452e-14,1.5414232517542057e-15,1.1048275602764182e-13,0.0
2065-01-06 00:00:00+00:00,,-8.067288156943242e-12,-3.847160437442376e-11,-9.409249421277188e-12,6.683282399722046e-14,2.367508417772373e-14,-5.35090869391297e-08,9.116547848662254e-16,4.2518506077060536e-14,1.520744530533768e-15,1.1039000930804926e-13,0.0
2065-01-07 00:00:00+00:00,,-8.054239566956944e-12,-3.845348345299371e-11,-9.40338432120491e-12,6.663246343574514e-14,1.9528258201587274e-14,-5.350284837390973e-08,9.04955813044628e-16,4.2394473348528194e-14,1.4990594282928739e-15,1.1025599514326648e-13,0.0
2065-01-08 00:00:00+00:00,,-7.993324752098019e-12,-3.844737722635827e-11,-9.385754326518558e-12,6.654659462368429e-14,2.3940412166253457e-14,-5.3492016149903066e-08,9.00982381489058e-16,4.2374957709423455e-14,1.490777563651095e-15,1.1021047220454924e-13,0.0
2065-01-09 00:00:00+00:00,,-7.97645630101762e-12,-3.8429238957693457e-11,-9.37853961158197e-12,6.649715500461895e-14,-7.235192445165239e-09,-5.348154274997796e-08,8.949145550922835e-16,4.234026323990392e-14,1.471961044365196e-15,1.1012709028122153e-13,0.0
2065-01-10 00:00:00+00:00,,-7.966357608302221e-12,-3.8729273260651453e-11,-9.37331375711059e-12,6.668363777828645e-14,-7.23412352243713e-09,-5.3485585738144437e-08,8.885753605150323e-16,4.241789211545388e-14,1.4516589351689312e-15,1.1019515784886288e-13,0.0
2065-01-11 00:00:00+00:00,,-7.875997597162065e-12,-3.8857726064600584e-11,-9.341920466365838e-12,6.578591837946846e-14,-7.232719756444794e-09,-5.349694731648924e-08,8.88537032274169e-16,4.199678799166051e-14,1.4633317903359243e-15,1.0964293302483455e-13,0.0
2065-01-12 00:00:00+00:00,,-7.864945673896617e-12,-3.883683305505592e-11,-9.335325915071913e-12,6.611117903121411e-14,-7.231930165829681e-09,-5.352310594730625e-08,8.8279859581475795e-16,4.2140770040166586e-14,1.4457216577251522e-15,1.0980205324617395e-13,0.0
2065-01-13 00:00:00+00:00,,-7.789821739045966e-12,-3.8816384134721105e-11,-9.295255537500324e-12,6.630199861357156e-14,-7.230617882214574e-09,-5.354146281888461e-08,8.854808315213571e-16,4.2231409341786375e-14,1.469661985188111e-15,1.098905444722395e-13,0.0
2065-01-14 00:00:00+00:00,,-7.764909375207463e-12,-3.87952413249959e-11,-9.272175041652453e-12,6.60738824764806e-14,-7.2299788378416e-09,-5.358577226388661e-08,8.840643806753111e-16,4.212168808193084e-14,1.4720544297476307e-15,4.676531921042268e-14,0.0
2065-01-15 00:00:00+00:00,,-7.7556312066962e-12,-3.878600912665675e-11,-9.261856039055605e-12,6.586658302110138e-14,-7.229113307971602e-09,-5.355349941282839e-08,8.798215397029551e-16,4.202454356727614e-14,1.4607572336927449e-15,1.0927279995567515e-13,0.0
2065-01-16 00:00:00+00:00,,-7.727370826549063e-12,-3.876643450695383e-11,-9.228140820938258e-12,6.638700006389442e-14,-7.2285191166088225e-09,-5.355136067919375e-08,8.830493705067044e-16,4.2260465960008986e-14,1.4843818296246146e-15,3.1116751428132694e-14,0.0
2065-01-17 00:00:00+00:00,,-7.713611867299353e-12,-3.874726234309733e-11,-9.209134323173718e-12,6.658736062536974e-14,-7.227090481620735e-09,-5.35128918954797e-08,8.849529711765401e-16,4.2364549368567594e-14,1.4999146139322455e-15,8.73711029198386e-14,0.0
2065-01-18 00:00:00+00:00,,-7.704485487092239e-12,-3.8728367734996993e-11,-9.194903519138542e-12,6.661858564793732e-14,-7.225849252279204e-09,-5.347220977114375e-08,8.876427243005461e-16,4.237972819898239e-14,1.5175972737391263e-15,1.0984332069136418e-13,0.0
2065-01-19 00:00:00+00:00,,-7.698626458552127e-12,-3.8709157407224026e-11,-9.184454412280996e-12,6.652057377154463e-14,-7.224600029331896e-09,-5.3470895267082597e-08,8.970032324610942e-16,4.2319012877323203e-14,1.5496982342532882e-15,3.121715532556843e-14,0.0
2065-01-20 00:00:00+00:00,,-7.695473598634539e-12,-3.868888195923681e-11,-9.177947464522607e-12,6.608689290255043e-14,-7.22360926630472e-09,-5.344750775293505e-08,9.090448645974981e-16,4.211041237933699e-14,1.5831288247364025e-15,6.690484212652781e-14,0.0
2065-01-21 00:00:00+00:00,,-7.693679894560379e-12,-3.866805486918423e-11,-9.173935049122672e-12,6.592035944885666e-14,-7.2225629921263135e-09,-5.34157926779244e-08,9.205783828446679e-16,4.2027145652490105e-14,1.6119118513170509e-15,1.0926216799812122e-13,0.0
2065-01-22 00:00:00+00:00,,-7.692498547873239e-12,-3.8645558975147765e-11,-9.171401485486008e-12,6.500269073006493e-14,-7.220607667335344e-09,-5.342967668298115e-08,9.32363152239817e-16,4.156310712266631e-14,1.63830571559085e-15,7.363914708048702e-14,0.0
2065-01-23 00:00:00+00:00,,-7.691668482689984e-12,-3.862429473477924e-11,-9.169761304439472e-12,6.538259517130385e-14,-7.219361553012504e-09,-5.3446711945071e-08,9.429544522122847e-16,4.171619646942126e-14,1.660065462610221e-15,1.089401057427844e-13,0.0
2065-01-24 00:00:00+00:00,,-7.690997144704781e-12,-3.8603630708733405e-11,-9.168629397371397e-12,6.551616887895406e-14,-7.218214470583462e-09,-5.3484402684489396e-08,9.522677912255826e-16,4.177257498239051e-14,1.6777402873623397e-15,3.061813362527019e-14,0.0
2065-01-25 00:00:00+00:00,,-7.690414277616853e-12,-3.858355301922245e-11,-9.167780250229907e-12,6.58353579985338e-14,-7.217085151722813e-09,-5.342752018577812e-08,9.589597750253652e-16,4.1942577883036236e-14,1.6893768259917193e-15,1.0887842141543355e-13,0.0
