,Corrected
2030-12-31,8608.381706712062
2031-12-31,8844.520789298003
2032-12-31,5684.154962912451
2033-12-31,6664.381440548753
2034-12-31,10660.211183892216
2035-12-31,6733.8941494748005
2036-12-31,9429.757296567026
2037-12-31,7945.379306158711
2038-12-31,13786.094652291784
2039-12-31,13113.94017691836
2040-12-31,6980.300786275933
2041-12-31,8396.39802588304
2042-12-31,7027.666074310576
2043-12-31,5807.034773830665
2044-12-31,6809.143982482494
2045-12-31,9974.66824079831
2046-12-31,8126.564245252126
2047-12-31,10202.9882810563
2048-12-31,8193.256893119513
2049-12-31,12650.970673283373
2050-12-31,9255.79162616964
2051-12-31,12151.281757484634
2052-12-31,9640.108436369863
2053-12-31,5959.27959093683
2054-12-31,5312.435840005746
2055-12-31,8075.409173788108
2056-12-31,9490.145924316139
2057-12-31,7335.256160199192
2058-12-31,6030.82943993976
2059-12-31,6238.896372114244
2060-12-31,6273.091236968658
2061-12-31,15909.764613799653
2062-12-31,10817.849677496279
2063-12-31,5992.753378392001
2064-12-31,8676.523193489187
2065-12-31,8310.01479426517
2066-12-31,7255.783333293648
2067-12-31,8715.47192011017
2068-12-31,10963.91232522616
2069-12-31,10404.435025297302
2070-12-31,10154.499110355551
2071-12-31,5751.517841449059
2072-12-31,6754.616202967555
2073-12-31,10148.27217603765
2074-12-31,9648.228389661172
2075-12-31,8737.94893943816
2076-12-31,6689.250203476664
2077-12-31,10452.471936509975
2078-12-31,4614.369501669296
2079-12-31,7374.087050912533
2080-12-31,9085.786282756382
2081-12-31,6336.173687576297
2082-12-31,10084.734105949377
2083-12-31,10411.88500900931
2084-12-31,10847.454741979709
2085-12-31,11976.771206932002
2086-12-31,8236.15779099015
2087-12-31,8596.990851080442
2088-12-31,7697.420779295208
2089-12-31,7024.711686761808
2090-12-31,8521.339983739133
2091-12-31,9231.911702101776
2092-12-31,7477.404537692785
2093-12-31,7291.110635177875
2094-12-31,7084.293044003666
2095-12-31,6077.081744784638
2096-12-31,5637.206440547454
2097-12-31,7162.144702442013
2098-12-31,7817.6029599643725
2099-12-31,10756.460080927502
