date,Q_model_raw_m3s,month,season,Q_model_biascorrected_m3s
2071-01-01,6268.28515625,1,winter,3579.735446723664
2071-01-02,5574.92626953125,1,winter,3257.4839202788567
2071-01-03,4938.111328125,1,winter,2993.317889566911
2071-01-04,4365.8271484375,1,winter,2693.3194341594076
2071-01-05,3858.95361328125,1,winter,2453.2208979134493
2071-01-06,3414.6025390625,1,winter,2248.5126466699
2071-01-07,3026.805419921875,1,winter,2082.860350315403
2071-01-08,2690.38037109375,1,winter,1950.0334994136902
2071-01-09,2398.003173828125,1,winter,1791.7648807018593
2071-01-10,2144.420654296875,1,winter,1684.7963148147633
2071-01-11,1924.1380615234373,1,winter,1608.2213149383444
2071-01-12,1732.3330078125,1,winter,1531.7477978557772
2071-01-13,1564.8363037109375,1,winter,1479.9474613835969
2071-01-14,1418.37939453125,1,winter,1423.3242417828756
2071-01-15,1289.40625,1,winter,1363.945584753756
2071-01-16,1177.0262451171875,1,winter,1315.9464999416564
2071-01-17,1078.510009765625,1,winter,1281.7999205361295
2071-01-18,992.9754028320312,1,winter,1255.3737190053102
2071-01-19,918.464111328125,1,winter,1218.1285804840809
2071-01-20,855.7758178710938,1,winter,1166.5240026600327
2071-01-21,802.286865234375,1,winter,1143.8971683723403
2071-01-22,757.869140625,1,winter,1131.1060837205548
2071-01-23,723.1290283203125,1,winter,1118.9274252565663
2071-01-24,711.7021484375,1,winter,1114.486072816656
2071-01-25,744.89697265625,1,winter,1127.3704556562025
2071-01-26,884.2046508789062,1,winter,1180.2631950490654
2071-01-27,1175.5675048828125,1,winter,1315.4541463586625
2071-01-28,1662.9219970703125,1,winter,1512.1706635412033
2071-01-29,2343.008056640625,1,winter,1759.4766959171186
2071-01-30,3074.53564453125,1,winter,2107.605572340537
2071-01-31,3657.267822265625,1,winter,2364.847114597488
2071-02-01,3970.200927734375,2,winter,2505.507967495099
2071-02-02,4021.289794921875,2,winter,2532.952935721674
2071-02-03,3919.389404296875,2,winter,2476.8810927396667
2071-02-04,3786.508544921875,2,winter,2426.2187477335965
2071-02-05,3681.89599609375,2,winter,2375.5420053857347
2071-02-06,3617.04052734375,2,winter,2343.267181386799
2071-02-07,3565.915283203125,2,winter,2313.5056620490336
2071-02-08,3503.089111328125,2,winter,2282.7925572161803
2071-02-09,3420.86767578125,2,winter,2252.4785874177455
2071-02-10,3307.7275390625,2,winter,2194.632981551215
2071-02-11,3211.33251953125,2,winter,2159.768558934704
2071-02-12,3167.404296875,2,winter,2140.079093141183
2071-02-13,3220.461669921875,2,winter,2164.6411032303777
2071-02-14,3447.47314453125,2,winter,2262.3787638622694
2071-02-15,3930.153564453125,2,winter,2482.9455490636224
2071-02-16,5078.5048828125,2,winter,3050.401462644371
2071-02-17,7257.34375,2,winter,3991.6649178570365
2071-02-18,10308.4189453125,2,winter,5442.129265778361
2071-02-19,13373.1337890625,2,winter,7545.876193890892
2071-02-20,15430.5400390625,2,winter,8943.420450536785
2071-02-21,16064.5703125,2,winter,9239.97704210259
2071-02-22,15466.953125,2,winter,8960.452035788183
2071-02-23,14102.68359375,2,winter,8173.218998230177
2071-02-24,12414.2763671875,2,winter,6858.61426333165
2071-02-25,10701.310546875,2,winter,5681.174467245353
2071-02-26,9135.9951171875,2,winter,4851.345209843514
2071-02-27,7859.8818359375,2,winter,4241.892425564614
2071-02-28,7033.44970703125,2,winter,3851.053826232928
2071-03-01,6930.39111328125,3,lente,4266.888944403241
2071-03-02,7580.15478515625,3,lente,4799.436198365584
2071-03-03,8631.7734375,3,lente,5667.645993890094
2071-03-04,9572.65234375,3,lente,6232.902504317001
2071-03-05,10100.34765625,3,lente,6493.250740479071
2071-03-06,10210.5029296875,3,lente,6544.530218092437
2071-03-07,10019.1689453125,3,lente,6455.460430852512
2071-03-08,9616.3662109375,3,lente,6258.258705959796
2071-03-09,9047.884765625,3,lente,5928.511394981717
2071-03-10,8354.9375,3,lente,5482.249900258765
2071-03-11,7606.17626953125,3,lente,4822.704432571547
2071-03-12,6846.1884765625,3,lente,4232.220733007833
2071-03-13,6112.63720703125,3,lente,3919.7945270232453
2071-03-14,5426.47509765625,3,lente,3505.46668843004
2071-03-15,4800.6806640625,3,lente,3256.8339713171026
2071-03-16,4239.9970703125,3,lente,2981.727459658908
2071-03-17,3744.63525390625,3,lente,2761.843257984114
2071-03-18,3310.6181640625,3,lente,2624.6714503225016
2071-03-19,2932.047607421875,3,lente,2475.963441331988
2071-03-20,2603.308837890625,3,lente,2297.397349915241
2071-03-21,2318.441162109375,3,lente,2168.6254206680946
2071-03-22,2070.81884765625,3,lente,2057.0407690414427
2071-03-23,1856.9371337890625,3,lente,1970.099873350935
2071-03-24,1671.63623046875,3,lente,1877.374177170785
2071-03-25,1515.1737060546875,3,lente,1810.3017053271574
2071-03-26,1382.30078125,3,lente,1748.169353988775
2071-03-27,1275.386962890625,3,lente,1698.7217616921928
2071-03-28,1197.1905517578125,3,lente,1638.6658505192554
2071-03-29,1147.2615966796875,3,lente,1592.112549308699
2071-03-30,1114.62451171875,3,lente,1567.3087736247317
2071-03-31,1089.314208984375,3,lente,1545.7090878239799
2071-04-01,1063.5916748046875,4,lente,1529.8278754708183
2071-04-02,1036.2244873046875,4,lente,1517.2274468501635
2071-04-03,1012.1741943359376,4,lente,1507.2432544998135
2071-04-04,1002.3092651367188,4,lente,1503.3055194255253
2071-04-05,1017.9248046875,4,lente,1509.538697236666
2071-04-06,1074.99267578125,4,lente,1535.0771360683566
2071-04-07,1183.930908203125,4,lente,1626.5078919673472
2071-04-08,1337.58935546875,4,lente,1729.178435431993
2071-04-09,1505.7442626953125,4,lente,1807.5763739856948
2071-04-10,1648.3388671875,4,lente,1860.7325304477877
2071-04-11,1738.4970703125,4,lente,1922.1952844349898
2071-04-12,1767.0079345703125,4,lente,1936.3670161361247
2071-04-13,1743.5006103515625,4,lente,1925.082303244058
2071-04-14,1683.4136962890625,4,lente,1886.2509854899968
2071-04-15,1606.10693359375,4,lente,1836.7615170655695
2071-04-16,1533.346923828125,4,lente,1815.2089762616572
2071-04-17,1468.9736328125,4,lente,1796.9487954271665
2071-04-18,1433.76806640625,4,lente,1777.4083532196835
2071-04-19,1438.936767578125,4,lente,1780.5488549147917
2071-04-20,1493.521728515625,4,lente,1804.0437735762673
2071-04-21,1612.17333984375,4,lente,1838.8321309766543
2071-04-22,1790.197021484375,4,lente,1943.1838954319985
2071-04-23,2013.97705078125,4,lente,2023.950170198627
2071-04-24,2256.1611328125,4,lente,2135.596237625556
2071-04-25,2483.40380859375,4,lente,2221.192697328229
2071-04-26,2674.366943359375,4,lente,2340.8534873040057
2071-04-27,2823.973876953125,4,lente,2425.095802179592
2071-04-28,2937.408203125,4,lente,2477.3222314601007
2071-04-29,3012.048583984375,4,lente,2496.241884850705
2071-04-30,3046.53857421875,4,lente,2516.445784048957
2071-05-01,3037.895751953125,5,lente,2509.9733121156737
2071-05-02,2986.71875,5,lente,2489.8213431290756
2071-05-03,2897.478271484375,5,lente,2459.7252291256364
2071-05-04,2777.513916015625,5,lente,2402.1923454699186
2071-05-05,2636.043701171875,5,lente,2319.9746122938054
2071-05-06,2481.998779296875,5,lente,2220.711789957114
2071-05-07,2323.283203125,5,lente,2171.357370263939
2071-05-08,2167.7802734375,5,lente,2089.7503809225036
2071-05-09,2016.44091796875,5,lente,2025.6127601843557
2071-05-10,1876.2103271484373,5,lente,1978.4100269125165
2071-05-11,1753.0863037109375,5,lente,1930.6132027293077
2071-05-12,1636.641357421875,5,lente,1852.930637390359
2071-05-13,1541.143310546875,5,lente,1817.2494393137488
2071-05-14,1457.6893310546875,5,lente,1791.9429083582809
2071-05-15,1384.5535888671875,5,lente,1749.4164739670769
2071-05-16,1323.8319091796875,5,lente,1724.0549696395294
2071-05-17,1275.1494140625,5,lente,1698.570209249694
2071-05-18,1229.6055908203125,5,lente,1666.195954062475
2071-05-19,1185.377197265625,5,lente,1627.9011601252596
2071-05-20,1140.6207275390625,5,lente,1587.1056727169164
2071-05-21,1095.374755859375,5,lente,1550.881128224071
2071-05-22,1051.648193359375,5,lente,1524.3288454578228
2071-05-23,1011.6057739257812,5,lente,1507.016360931617
2071-05-24,978.0485229492188,5,lente,1493.5930352476662
2071-05-25,954.0881958007812,5,lente,1483.3102251092823
2071-05-26,942.0232543945312,5,lente,1478.1324367993557
2071-05-27,942.6632080078124,5,lente,1478.407079188918
2071-05-28,956.2771606445312,5,lente,1484.2496409089263
2071-05-29,982.6683349609376,5,lente,1495.4655463164488
2071-05-30,1022.1469116210938,5,lente,1511.2240148120952
2071-05-31,1082.8883056640625,5,lente,1540.2252540602592
2071-06-01,1180.7508544921875,6,zomer,1429.7998698249082
2071-06-02,1334.754638671875,6,zomer,1497.0910158340535
2071-06-03,1557.6524658203125,6,zomer,1604.6284251479296
2071-06-04,1814.39111328125,6,zomer,1699.9565033681815
2071-06-05,2051.6328125,6,zomer,1800.828877153084
2071-06-06,2214.592529296875,6,zomer,1866.8033489814086
2071-06-07,2284.675048828125,6,zomer,1897.7860143086066
2071-06-08,2273.846435546875,6,zomer,1893.9911098746672
2071-06-09,2201.8017578125,6,zomer,1860.586885226261
2071-06-10,2094.523193359375,6,zomer,1815.3053953864921
2071-06-11,1979.4449462890625,6,zomer,1767.1889628666668
2071-06-12,1873.8565673828125,6,zomer,1719.3460034323825
2071-06-13,1789.62158203125,6,zomer,1693.0330190644622
2071-06-14,1739.059814453125,6,zomer,1680.2949618234552
2071-06-15,1742.2421875,6,zomer,1681.0669952384249
2071-06-16,1825.894775390625,6,zomer,1703.9225302069308
2071-06-17,2006.9256591796875,6,zomer,1775.3320860177655
2071-06-18,2269.0908203125,6,zomer,1892.3244970896037
2071-06-19,2558.347900390625,6,zomer,1997.363435785273
2071-06-20,2811.25244140625,6,zomer,2111.598205723308
2071-06-21,2979.90234375,6,zomer,2186.5387253024105
2071-06-22,3048.28857421875,6,zomer,2211.9432187562716
2071-06-23,3038.924560546875,6,zomer,2208.397091397813
2071-06-24,2973.1982421875,6,zomer,2183.825083842101
2071-06-25,2872.282958984375,6,zomer,2144.736146793489
2071-06-26,2758.68017578125,6,zomer,2083.1194888093028
2071-06-27,2643.733642578125,6,zomer,2036.0982277067023
2071-06-28,2548.297607421875,6,zomer,1994.2042323778826
2071-06-29,2471.71484375,6,zomer,1968.111648859624
2071-06-30,2421.389404296875,6,zomer,1946.3753548182603
2071-07-01,2405.81640625,7,zomer,1941.1455648449019
2071-07-02,2415.671630859375,7,zomer,1944.4551879946748
2071-07-03,2436.184814453125,7,zomer,1951.7699832594683
2071-07-04,2452.758056640625,7,zomer,1959.6970327667473
2071-07-05,2452.14990234375,7,zomer,1959.406150079772
2071-07-06,2434.694580078125,7,zomer,1951.0571980642464
2071-07-07,2402.103759765625,7,zomer,1939.8987682229433
2071-07-08,2372.541748046875,7,zomer,1929.338759214104
2071-07-09,2358.095947265625,7,zomer,1922.5321025480744
2071-07-10,2377.294921875,7,zomer,1931.5673595076444
2071-07-11,2461.275634765625,7,zomer,1963.771025212831
2071-07-12,2618.276611328125,7,zomer,2025.4247101025198
2071-07-13,2834.045654296875,7,zomer,2127.4398152257213
2071-07-14,3059.664794921875,7,zomer,2216.2513636271383
2071-07-15,3239.514892578125,7,zomer,2286.6773564092173
2071-07-16,3336.658447265625,7,zomer,2339.740060593647
2071-07-17,3342.4765625,7,zomer,2342.9219812612655
2071-07-18,3268.641845703125,7,zomer,2301.9493708495406
2071-07-19,3135.637451171875,7,zomer,2240.4079106135546
2071-07-20,2963.681884765625,7,zomer,2179.973116235349
2071-07-21,2770.449951171875,7,zomer,2089.0975953913407
2071-07-22,2568.849609375,7,zomer,2000.6645370476956
2071-07-23,2367.9658203125,7,zomer,1927.1826468955069
2071-07-24,2174.06982421875,7,zomer,1847.2561182946215
2071-07-25,1990.3992919921875,7,zomer,1770.4349698554697
2071-07-26,1818.914794921875,7,zomer,1701.5098523612292
2071-07-27,1660.553955078125,7,zomer,1649.6937075570545
2071-07-28,1515.583740234375,7,zomer,1583.8458727217087
2071-07-29,1389.0526123046875,7,zomer,1519.4447555133177
2071-07-30,1273.147216796875,7,zomer,1462.2895626887002
2071-07-31,1166.7581787109375,7,zomer,1424.7442994454582
2071-08-01,1070.535400390625,8,zomer,1379.4621038084802
2071-08-02,983.6762084960938,8,zomer,1330.261103106846
2071-08-03,905.4252319335938,8,zomer,1294.0509736017432
2071-08-04,834.9882202148438,8,zomer,1238.342184112901
2071-08-05,771.5564575195312,8,zomer,1162.5134763830638
2071-08-06,714.6329956054688,8,zomer,1136.3128558603676
2071-08-07,665.331298828125,8,zomer,1104.797007791789
2071-08-08,619.1423950195312,8,zomer,1061.895079259107
2071-08-09,577.0039672851562,8,zomer,1028.2059900156514
2071-08-10,538.29296875,8,zomer,1011.7417571294401
2071-08-11,503.4093017578125,8,zomer,999.3880518556487
2071-08-12,470.81878662109375,8,zomer,987.8464436064291
2071-08-13,440.9023132324219,8,zomer,971.7918446496274
2071-08-14,413.51409912109375,8,zomer,946.416160414917
2071-08-15,388.68072509765625,8,zomer,923.4075825229921
2071-08-16,366.4420776367188,8,zomer,902.8030665263693
2071-08-17,346.5067138671875,8,zomer,892.0
2071-08-18,329.0284423828125,8,zomer,892.0
2071-08-19,316.8068542480469,8,zomer,892.0
2071-08-20,306.45220947265625,8,zomer,892.0
2071-08-21,301.863525390625,8,zomer,892.0
2071-08-22,298.697998046875,8,zomer,892.0
2071-08-23,299.5116882324219,8,zomer,892.0
2071-08-24,304.9141540527344,8,zomer,892.0
2071-08-25,315.3514099121094,8,zomer,892.0
2071-08-26,331.2909240722656,8,zomer,892.0
2071-08-27,352.45123291015625,8,zomer,892.0
2071-08-28,377.68255615234375,8,zomer,913.2175766620107
2071-08-29,405.091552734375,8,zomer,938.6125162381624
2071-08-30,432.6100463867188,8,zomer,964.1089068643745
2071-08-31,459.8372497558594,8,zomer,983.9574410564173
2071-09-01,496.84320068359375,9,herfst,892.0980820165963
2071-09-02,543.3706665039062,9,herfst,901.208662535291
2071-09-03,621.4962768554688,9,herfst,912.8438325312724
2071-09-04,733.1067504882812,9,herfst,929.458958881061
2071-09-05,873.5628051757812,9,herfst,955.2952478798804
2071-09-06,1005.0653076171876,9,herfst,986.3067354180839
2071-09-07,1118.4051513671875,9,herfst,1022.7781253113939
2071-09-08,1209.9007568359375,9,herfst,1056.400001726206
2071-09-09,1287.22119140625,9,herfst,1087.7542379727026
2071-09-10,1357.76318359375,9,herfst,1105.5590817187833
2071-09-11,1431.64208984375,9,herfst,1124.5731040680987
2071-09-12,1503.5372314453125,9,herfst,1151.445865432271
2071-09-13,1569.0826416015625,9,herfst,1178.1211380891937
2071-09-14,1617.6878662109375,9,herfst,1192.4448701624628
2071-09-15,1641.737548828125,9,herfst,1204.1147838836682
2071-09-16,1639.130126953125,9,herfst,1203.4834828333321
2071-09-17,1612.73046875,9,herfst,1189.6079428318124
2071-09-18,1569.146728515625,9,herfst,1178.1366409401194
2071-09-19,1513.0501708984375,9,herfst,1155.1957270920648
2071-09-20,1451.9273681640625,9,herfst,1132.9860628877925
2071-09-21,1386.2337646484375,9,herfst,1111.019619251556
2071-09-22,1322.0640869140625,9,herfst,1098.3996528319276
2071-09-23,1258.2017822265625,9,herfst,1076.1287572114193
2071-09-24,1200.068359375,9,herfst,1052.3439152544177
2071-09-25,1146.82421875,9,herfst,1032.9228675972615
2071-09-26,1099.7930908203125,9,herfst,1016.1851009512628
2071-09-27,1059.825439453125,9,herfst,1002.8167585706091
2071-09-28,1025.53564453125,9,herfst,992.2476058210933
2071-09-29,994.0167846679688,9,herfst,982.9817207781159
2071-09-30,964.5800170898438,9,herfst,973.960926800215
2071-10-01,940.1294555664062,10,herfst,967.2207680686613
2071-10-02,923.948486328125,10,herfst,964.3219219618976
2071-10-03,927.3598022460938,10,herfst,964.9330645777768
2071-10-04,965.610595703125,10,herfst,974.2767439946053
2071-10-05,1052.693359375,10,herfst,1000.4424564898511
2071-10-06,1195.411376953125,10,herfst,1050.5011692956325
2071-10-07,1379.0147705078125,10,herfst,1109.5060610067696
2071-10-08,1572.49609375,10,herfst,1178.9468642233574
2071-10-09,1741.749267578125,10,herfst,1232.3881860557071
2071-10-10,1868.3475341796875,10,herfst,1282.7796563546688
2071-10-11,1952.4561767578125,10,herfst,1307.8320111617106
2071-10-12,2004.726318359375,10,herfst,1328.6152790280175
2071-10-13,2037.1845703125,10,herfst,1348.043273152498
2071-10-14,2056.857177734375,10,herfst,1356.6466557999286
2071-10-15,2064.34130859375,10,herfst,1359.4960883174856
2071-10-16,2056.032470703125,10,herfst,1356.3326651607406
2071-10-17,2027.727783203125,10,herfst,1341.7400957247987
2071-10-18,1979.7540283203125,10,herfst,1317.3940676444552
2071-10-19,1909.590576171875,10,herfst,1297.9674228581318
2071-10-20,1822.1094970703125,10,herfst,1254.2743707845102
2071-10-21,1722.456298828125,10,herfst,1224.350390684231
2071-10-22,1616.171142578125,10,herfst,1191.576907736437
2071-10-23,1507.801513671875,10,herfst,1153.1267831451105
2071-10-24,1400.9102783203125,10,herfst,1114.0967457653146
2071-10-25,1298.0361328125,10,herfst,1091.0960448078456
