period,run,bias,rmse,log_nse,diff_days_below_1600,diff_days_below_1020,diff_p10,diff_p17,n_days,perc_days
calibration_1987_2003,calib10_raw,1149.77,2089.22,-0.6,-300,572,-293.09,-125.6,6209,9.21
calibration_1987_2003,annual_fdc,0.68,686.27,0.61,9,-3,-0.0,0.07,6209,-0.05
calibration_1987_2003,two_season_fdc,1.81,585.6,0.71,7,4,3.21,4.02,6209,0.06
calibration_1987_2003,four_season_fdc,0.29,575.73,0.73,6,3,2.28,1.75,6209,0.05
validation_2004_2019,calib10_raw,1130.1,1943.32,-1.22,-434,533,-326.08,-117.06,5844,9.12
validation_2004_2019,annual_fdc,117.84,616.01,0.53,-126,-22,-5.53,20.86,5844,-0.38
validation_2004_2019,two_season_fdc,124.49,547.11,0.65,-167,55,-18.33,5.13,5844,0.94
validation_2004_2019,four_season_fdc,125.91,557.78,0.66,-131,43,-31.5,-5.01,5844,0.74
validation_2004_2010,calib10_raw,1252.58,1946.43,-1.94,-308,188,-167.14,43.58,2557,7.35
validation_2004_2010,annual_fdc,163.81,607.6,0.39,-159,13,22.41,38.49,2557,0.51
validation_2004_2010,two_season_fdc,164.98,529.3,0.54,-166,31,-19.08,-10.73,2557,1.21
validation_2004_2010,four_season_fdc,179.8,549.45,0.54,-150,54,-35.57,-22.56,2557,2.11
validation_2011_2019,calib10_raw,1034.82,1940.89,-0.85,-126,345,-350.04,-247.56,3287,10.5
validation_2011_2019,annual_fdc,82.09,622.48,0.6,33,-35,23.42,3.06,3287,-1.06
validation_2011_2019,two_season_fdc,92.99,560.57,0.7,-1,24,4.22,2.07,3287,0.73
validation_2011_2019,four_season_fdc,83.99,564.18,0.73,19,-11,0.38,-4.14,3287,-0.33
