date,Q_grdc_m3s,Q_model_raw_m3s,Q_model_annual_fdc_m3s,Q_model_two_season_fdc_m3s,Q_model_four_season_fdc_m3s,month,two_season,four_season
1987-01-01,4865.0,12101.763671875,6976.499195255877,7302.245563401014,6644.466538687965,1,jan_jun,winter
1987-01-02,5756.0,13396.1904296875,7725.032013314647,8260.3424826027,7565.702691678151,1,jan_jun,winter
1987-01-03,6160.0,14481.40625,8267.41604857727,9138.001681598398,8498.88412994859,1,jan_jun,winter
1987-01-04,6973.0,14916.130859375,8484.688671632914,9489.581565807892,8702.814537239929,1,jan_jun,winter
1987-01-05,7579.0,14704.66796875,8379.00085011511,9318.562725380547,8603.90646184724,1,jan_jun,winter
1987-01-06,7642.0,14159.0859375,8106.322385484045,8877.327830375576,8221.71959993288,1,jan_jun,winter
1987-01-07,6992.0,13422.712890625,7738.287772325085,8281.792300589224,7588.5094622585875,1,jan_jun,winter
1987-01-08,6264.0,12579.4599609375,7316.835266574449,7640.043172783653,6971.399235170648,1,jan_jun,winter
1987-01-09,5653.0,11687.4931640625,6666.583395738779,7009.2987886805495,6343.955503318542,1,jan_jun,winter
1987-01-10,5080.0,10788.662109375,6000.4707925407565,6388.548335726329,5734.321370292471,1,jan_jun,winter
1987-01-11,4461.0,9904.669921875,5404.435497113611,5936.213790321191,5233.606136237757,1,jan_jun,winter
1987-01-12,3851.0,9049.0078125,4943.75035210389,5466.030805040327,4807.932903750846,1,jan_jun,winter
1987-01-13,3405.0,8227.732421875,4438.520478791645,4936.830654975503,4393.716534100243,1,jan_jun,winter
1987-01-14,3034.0,7444.12158203125,4076.6028849377885,4402.028067869139,4085.852251855269,1,jan_jun,winter
1987-01-15,2711.0,6712.1865234375,3676.9794458451074,3987.4588575179014,3766.8253804168885,1,jan_jun,winter
1987-01-16,2464.0,6042.2451171875,3384.727200485044,3730.349833280033,3479.4993571443997,1,jan_jun,winter
1987-01-17,2310.0,5440.2392578125,3090.96178526685,3409.469256199778,3207.185995014973,1,jan_jun,winter
1987-01-18,2179.0,4903.92822265625,2868.142388755548,3190.5052998742494,2981.0000282664273,1,jan_jun,winter
1987-01-19,2100.0,4426.02880859375,2656.337679379425,2987.4968844472205,2720.7260442096267,1,jan_jun,winter
1987-01-20,2054.0,3998.303955078125,2477.645190973001,2808.6685236320054,2520.8355598824182,1,jan_jun,winter
1987-01-21,1997.0,3613.8251953125,2314.166951129112,2643.2932106209014,2341.5423164507074,1,jan_jun,winter
1987-01-22,1951.0,3267.53271484375,2178.9007467739084,2477.4458613809993,2184.4079547475226,1,jan_jun,winter
1987-01-23,1901.0,2956.6728515625,2040.4774574089079,2346.622852796128,2055.697274449354,1,jan_jun,winter
1987-01-24,1850.0,2678.590087890625,1935.7057531655312,2208.6596788660067,1946.1235315183492,1,jan_jun,winter
1987-01-25,1846.0,2432.57763671875,1844.2843919375118,2084.766840756099,1809.7006856645562,1,jan_jun,winter
1987-01-26,1813.0,2219.94921875,1757.0703368716288,2005.3693628240585,1722.4490161978745,1,jan_jun,winter
1987-01-27,1803.0,2037.766845703125,1693.4829702333473,1959.6932761500602,1653.6381409881162,1,jan_jun,winter
1987-01-28,1771.0,1885.455810546875,1636.0599026910888,1897.6068790742065,1591.0373858487317,1,jan_jun,winter
1987-01-29,1723.0,1755.7685546875,1574.7814380778009,1837.768064408245,1538.3577123924129,1,jan_jun,winter
1987-01-30,1679.0,1642.237060546875,1522.670002693307,1788.778961415953,1504.5904458566804,1,jan_jun,winter
1987-01-31,1601.0,1538.2137451171875,1476.7334136203726,1735.1934254067987,1473.3716796194317,1,jan_jun,winter
1987-02-01,1533.0,1439.74853515625,1440.255188050001,1693.96204168017,1434.8194334139948,2,jan_jun,winter
1987-02-02,1443.0,1345.6485595703125,1400.6186167985566,1650.502166362085,1387.1500259270583,2,jan_jun,winter
1987-02-03,1441.0,1256.2935791015625,1362.52397064704,1595.8581406711046,1348.2087676723158,2,jan_jun,winter
1987-02-04,1387.0,1172.457763671875,1320.3090657286787,1541.4080149687782,1314.404547402447,2,jan_jun,winter
1987-02-05,1368.0,1094.447265625,1289.2665081949967,1500.4703603058274,1286.1722893347744,2,jan_jun,winter
1987-02-06,1383.0,1024.522705078125,1261.5797974892528,1473.1805481652457,1266.9885622557958,2,jan_jun,winter
1987-02-07,1387.0,960.5042724609376,1234.0611009673864,1444.4644132283593,1242.0984600710487,2,jan_jun,winter
1987-02-08,1465.0,913.2348022460938,1207.8915233473604,1421.2428155669602,1212.0017109493808,2,jan_jun,winter
1987-02-09,1648.0,885.6393432617188,1192.0671859543352,1403.1986464528384,1180.9565585318762,2,jan_jun,winter
1987-02-10,1953.0,885.0361938476562,1191.7213160113154,1402.7930748018125,1180.6650662347122,2,jan_jun,winter
1987-02-11,2266.0,907.5186767578124,1204.6136688873692,1417.910817603911,1205.304467668999,2,jan_jun,winter
1987-02-12,2607.0,955.728515625,1231.4251025390374,1441.8520923959095,1239.446075693425,2,jan_jun,winter
1987-02-13,2982.0,1033.9832763671875,1265.5677666134507,1476.6815793215244,1269.5840596919068,2,jan_jun,winter
1987-02-14,3227.0,1160.4742431640625,1315.2184292639595,1533.6750219897554,1310.343434305746,2,jan_jun,winter
1987-02-15,3203.0,1373.9140625,1412.782812951553,1660.8912620627646,1399.4048188350675,2,jan_jun,winter
1987-02-16,3140.0,1685.31396484375,1543.7479023854162,1806.1715018316713,1518.486240219613,2,jan_jun,winter
1987-02-17,3034.0,2079.291259765625,1710.7835846661817,1972.3869607802205,1664.590277366213,2,jan_jun,winter
1987-02-18,2938.0,2494.94189453125,1872.5119999765195,2117.12285777578,1844.1421997561,2,jan_jun,winter
1987-02-19,2803.0,2845.651123046875,1997.5814184038502,2285.617651573947,2011.1901047245326,2,jan_jun,winter
1987-02-20,2649.0,3073.59228515625,2098.5427667028544,2400.071681034483,2107.128715761363,2,jan_jun,winter
1987-02-21,2457.0,3187.371826171875,2139.34861156794,2443.892238183186,2146.979905582196,2,jan_jun,winter
1987-02-22,2285.0,3237.32666015625,2161.404098161219,2464.0,2173.64253364251,2,jan_jun,winter
1987-02-23,2157.0,3269.29833984375,2179.9234728639713,2478.231808080972,2184.857106181847,2,jan_jun,winter
1987-02-24,2071.0,3304.99951171875,2192.1362973867717,2495.7542675604795,2193.9390078057586,2,jan_jun,winter
1987-02-25,2030.0,3343.853271484375,2205.4343485229197,2521.533986070569,2208.284007391369,2,jan_jun,winter
1987-02-26,1960.0,3372.785888671875,2216.6585208792767,2537.2950453299286,2222.078511843762,2,jan_jun,winter
