season,quantile,model_q,grdc_q
winter,0.0,378.0589904785156,855.0
winter,0.01,489.88002807617187,933.65
winter,0.02,573.7460717773438,1052.62
winter,0.03,671.8075366210937,1098.98
winter,0.04,744.7217626953125,1127.32
winter,0.05,818.791326904297,1148.65
winter,0.06,887.5087243652343,1181.86
winter,0.07,919.4724578857422,1219.31
winter,0.08,967.52919921875,1246.0
winter,0.09,1024.4550457763671,1266.97
winter,0.1,1098.557763671875,1287.3
winter,0.11,1160.9486657714845,1310.52
winter,0.12,1218.6638134765624,1330.0
winter,0.13,1285.3934875488283,1362.29
winter,0.14,1369.1833374023438,1396.8600000000001
winter,0.15,1439.9912536621093,1434.95
winter,0.16,1512.417509765625,1467.0
winter,0.17,1597.6400549316406,1488.0500000000002
winter,0.18,1661.8914453125,1511.88
winter,0.19,1759.0030834960935,1539.27
winter,0.2,1832.6965820312503,1567.6
winter,0.21,1934.737647705078,1612.93
winter,0.22,2013.5844799804688,1647.26
winter,0.23,2098.247429199219,1669.5900000000001
winter,0.24,2165.80845703125,1691.84
winter,0.25,2219.2162475585938,1722.25
winter,0.26,2333.056928710938,1753.16
winter,0.27,2376.7734228515624,1780.91
winter,0.28,2418.4901953125,1802.24
winter,0.29,2481.689033203125,1835.71
winter,0.3,2541.7121337890626,1873.9
winter,0.31,2579.7875244140623,1900.23
winter,0.32,2637.6900390625,1932.56
winter,0.33,2712.744401855469,1957.4500000000003
winter,0.34,2779.0032031250007,1988.0
winter,0.35000000000000003,2844.482568359375,2010.5500000000002
winter,0.36,2900.07111328125,2041.0
winter,0.37,2993.500556640625,2065.26
winter,0.38,3053.713037109375,2097.08
winter,0.39,3110.667932128906,2125.87
winter,0.4,3180.66455078125,2143.4
winter,0.41000000000000003,3248.357358398438,2179.53
winter,0.42,3323.7937060546874,2198.7200000000003
winter,0.43,3373.0197241210935,2222.19
winter,0.44,3422.51283203125,2253.52
winter,0.45,3493.036962890625,2278.55
winter,0.46,3544.2862353515625,2300.1800000000003
winter,0.47000000000000003,3595.2357348632813,2331.5699999999997
winter,0.48,3668.4391992187498,2370.84
winter,0.49,3746.169140625,2398.0
winter,0.5,3798.3468017578125,2434.5
winter,0.51,3899.7741699218755,2465.83
winter,0.52,3984.3509570312503,2513.4800000000005
winter,0.53,4054.4426000976564,2550.4300000000003
winter,0.54,4164.006435546875,2581.0
winter,0.55,4217.677343750001,2618.15
winter,0.56,4281.2091015625,2649.0
winter,0.5700000000000001,4381.140625,2701.340000000001
winter,0.58,4473.621279296875,2741.2799999999997
winter,0.59,4578.822485351562,2787.2899999999995
winter,0.6,4625.056542968749,2820.3999999999996
winter,0.61,4682.042788085938,2873.65
winter,0.62,4764.13427734375,2915.92
winter,0.63,4841.4332421875,2958.4799999999996
winter,0.64,4944.1113671875,2995.48
winter,0.65,5056.181738281251,3040.9
winter,0.66,5158.75841796875,3084.5600000000004
winter,0.67,5258.010410156252,3125.880000000001
winter,0.68,5411.151347656251,3196.32
winter,0.6900000000000001,5574.419565429687,3257.31
