run_id;forcing;model;scenario;type;time_group;parameter_set
r001;era5;era5;era5;raw;era5;uncalibrated
r002;era5;era5;era5;raw;era5;overall_calibrated
r003;era5;era5;era5;raw;era5;amu_calibrated
r004;era5;era5;era5;raw;era5;syr_calibrated
r005;cmip;MIROC6;historical;regridded;cmip_hist;overall_calibrated
r006;cmip;MPI-ESM1-2-HR;historical;regridded;cmip_hist;overall_calibrated
r007;cmip;CanESM5;historical;regridded;cmip_hist;overall_calibrated
r008;cmip;MIROC6;historical;bias_corrected;cmip_hist;overall_calibrated
r009;cmip;MPI-ESM1-2-HR;historical;bias_corrected;cmip_hist;overall_calibrated
r010;cmip;CanESM5;historical;bias_corrected;cmip_hist;overall_calibrated
r011;cmip;MIROC6;ssp245;bias_corrected;cmip_fut;overall_calibrated
r012;cmip;MPI-ESM1-2-HR;ssp245;bias_corrected;cmip_fut;overall_calibrated
r013;cmip;CanESM5;ssp245;bias_corrected;cmip_fut;overall_calibrated
r014;cmip;MPI-ESM1-2-HR;ssp126;bias_corrected;cmip_fut;overall_calibrated
r015;cmip;MPI-ESM1-2-HR;ssp370;bias_corrected;cmip_fut;overall_calibrated
r016;cmip;MPI-ESM1-2-HR;ssp585;bias_corrected;cmip_fut;overall_calibrated
r017;cmip;MRI-ESM2-0;historical;regridded;cmip_hist;overall_calibrated
r018;cmip;MRI-ESM2-0;historical;bias_corrected;cmip_hist;overall_calibrated
r019;cmip;MRI-ESM2-0;ssp245;bias_corrected;cmip_fut;overall_calibrated
