Area;Elevation
6491165,101465145;-13,0
7249303,110420051;-12,0
20588772,70599852;-11,0
79523038,09632783;-10,0
80732299,5486278;-9,0
82843807,8876179;-8,0
84522989,59340233;-7,0
88194633,17396079;-6,0
104203249,80933091;-5,0
108338548,03999403;-4,0
117705625,09278399;-3,0
128852133,50543505;-2,0
153576204,44209668;-1,0
292509693,78561807;0,0
449018200,60945773;1,0
487420083,7242066;2,0
722774943,4793565;3,0
1231059486,4582725;4,0
3154963129,050632;5,0
24411417328,009995;6,0
24449881867,158543;7,0
24489900275,94528;8,0
24525582887,193195;9,0
24611841448,922802;10,0
24676477413,388744;11,0
24763187098,561695;12,0
24878687231,264793;13,0
25039869878,209957;14,0
25320167911,008358;15,0
28567548689,91093;16,0
29154153275,137253;17,0
30178084445,06634;18,0
31688997106,48305;19,0
33543979111,897694;20,0
35751075496,04992;21,0
37968077799,1456;22,0
40011410107,760185;23,0
41937318743,43408;24,0
43707025886,84975;25,0
45374108712,50779;26,0
46917163919,26283;27,0
48689803365,06024;28,0
50465017973,84674;29,0
52276266067,670425;30,0
54083454050,504005;31,0
55846469529,51005;32,0
57551133444,24008;33,0
59281787081,7895;34,0
61102320799,82204;35,0
62708113493,21895;36,0
64223136390,452805;37,0
65564670995,70358;38,0
66448440618,02671;39,0
67064737897,66987;40,0
67621875350,20103;41,0
68153399016,11559;42,0
69020013416,38484;43,0
69728671955,44952;44,0
70383853569,66768;45,0
71097925590,0525;46,0
71974590018,14294;47,0
72850333402,53656;48,0
73829597085,9711;49,0
74895814813,11041;50,0
76353100175,19948;51,0
78127813535,71559;52,0
80363167791,11069;53,0
82871508120,15996;54,0
85510567732,52185;55,0
88369336992,99954;56,0
91616730303,10887;57,0
94877068349,80086;58,0
98149047887,5725;59,0
101423602588,33322;60,0
104691835295,28374;61,0
108107748273,89597;62,0
111268544679,69319;63,0
114405726026,35197;64,0
117584586166,69313;65,0
120375837285,15018;66,0
123014445774,06873;67,0
125545292150,45822;68,0
128027166570,83125;69,0
130301179599,07967;70,0
132419999897,21399;71,0
134552886474,93596;72,0
136557221668,11472;73,0
138587872395,48862;74,0
140509150750,26483;75,0
142387741549,21454;76,0
144329051037,99597;77,0
146153632335,81186;78,0
147966597204,9616;79,0
149640183726,9279;80,0
151198351569,035;81,0
152677591605,36685;82,0
154071205905,91046;83,0
155436881880,98358;84,0
156825721791,7518;85,0
158183277544,8447;86,0
159627849997,67615;87,0
161127002121,54898;88,0
162583071956,58237;89,0
163870578263,8892;90,0
165040711023,08237;91,0
166160737752,04733;92,0
167137019008,2731;93,0
168008595766,41916;94,0
168774070796,9318;95,0
169507841874,34268;96,0
170225748443,99594;97,0
170978441643,6138;98,0
171739161081,1612;99,0
172474955948,46375;100,0
173182931536,76004;101,0
173901602510,02563;102,0
174587654752,09604;103,0
175188551178,63168;104,0
175737919282,9719;105,0
176283058105,03076;106,0
